feature_num_trains,feature_num_intervals,feature_num_points,feature_num_stations,feature_num_crossings,feature_num_depots,feature_num_routes,feature_max_time,feature_alpha,feature_avg_num_trips,feature_avg_service_time_min,feature_avg_service_time_max,feature_avg_arcs_in_cost_matrix,feature_avg_demands_per_day,feature_ratio_points_trains,feature_ratio_points_stations,feature_ratio_points_crossings,feature_ratio_points_depots,feature_std_arcs_in_cost_matrix,Instances,algo_Model,algo_Enum,algo_Heuristic
2,1,5,5,3,2,2,61598.0,41.0,6.0,128.2,592.0,669.75,8.8,2.5,1.0,1.6666666666666667,2.5,33.1841453106751,t2p5r2h1,0.0,0.0,0.0
2,3,6,4,6,3,7,51649.0,48.0,4.0,90.16666666666667,307.0,668.2,3.0,3.0,1.5,1.0,2.0,23.709913538433664,t2p6r7h3,0.0,0.0,0.0
2,1,7,6,5,3,8,24317.0,64.0,7.0,104.0,371.0,143.16666666666666,9.285714285714286,3.5,1.1666666666666667,1.4,2.3333333333333335,8.78287475083693,t2p7r8h1,0.0,0.0,0.0
2,2,8,8,3,2,2,36657.0,90.0,4.0,116.75,367.0,359.14285714285717,5.25,4.0,1.0,2.6666666666666665,4.0,26.63739890470095,t2p8r2h2,0.0,0.0,0.0
2,3,9,9,2,2,2,42397.0,71.0,10.0,119.22222222222223,426.0,142.75,16.0,4.5,1.0,4.5,4.5,6.905613658466566,t2p9r2h3,0.0,0.0,0.0
3,1,5,4,4,3,7,14317.0,82.0,3.0,164.8,494.0,262.75,3.6,1.6666666666666667,1.25,1.25,1.6666666666666667,8.926785535678562,t3p5r7h1,0.0,0.0,0.0
3,1,6,5,3,2,2,36251.0,58.0,7.0,155.16666666666666,444.0,197.2,12.0,2.0,1.2,2.0,3.0,7.413501197140255,t3p6r2h1,0.0,0.0,0.0
3,3,7,5,7,3,6,40019.0,75.0,4.0,93.42857142857143,365.0,294.3333333333333,5.142857142857143,2.3333333333333335,1.4,1.0,2.3333333333333335,18.46317656550164,t3p7r6h3,0.0,0.0,0.0
3,1,8,7,5,3,7,8707.0,44.0,5.0,81.875,333.0,39.714285714285715,10.5,2.6666666666666665,1.1428571428571428,1.6,2.6666666666666665,1.665986255670086,t3p8r7h1,0.0,0.0,0.0
3,3,9,8,4,3,7,31558.0,82.0,2.0,77.33333333333333,391.0,552.0,2.3333333333333335,3.0,1.125,2.25,3.0,28.447319733148852,t3p9r7h3,0.0,0.0,0.0
4,2,5,4,4,3,7,37968.0,48.0,6.0,109.0,466.0,425.0,12.0,1.25,1.25,1.25,1.6666666666666667,7.7781745930520225,t4p5r7h2,0.0,0.0,0.0
4,1,6,5,6,3,7,42700.0,54.0,8.0,131.83333333333334,359.0,299.4,18.666666666666668,1.5,1.2,1.0,2.0,7.39188744503053,t4p6r7h1,0.0,0.0,0.0
