feature_num_trains,feature_num_intervals,feature_num_points,feature_num_stations,feature_num_crossings,feature_num_depots,feature_num_routes,feature_max_time,feature_alpha,feature_avg_num_trips,feature_avg_service_time_min,feature_avg_service_time_max,feature_avg_arcs_in_cost_matrix,feature_avg_demands_per_day,feature_ratio_points_trains,feature_std_arcs_in_cost_matrix,Instances,algo_Model,algo_Enum,algo_Heuristic
2,1,5,5,3,2,2,61598.0,41.0,6.0,128.2,592.0,669.75,8.8,2.5,33.1841453106751,t2p5r2h1,3.23,1.4,1.58
2,3,6,4,6,3,7,51649.0,48.0,4.0,90.16666666666667,307.0,668.2,3.0,3.0,23.709913538433664,t2p6r7h3,5.1,3.79,1.28
2,1,7,6,5,3,8,24317.0,64.0,7.0,104.0,371.0,143.16666666666666,9.285714285714286,3.5,8.78287475083693,t2p7r8h1,11.11,161.7,2.28
2,2,8,8,3,2,2,36657.0,90.0,4.0,116.75,367.0,359.14285714285717,5.25,4.0,26.63739890470095,t2p8r2h2,2.28,1.37,1.41
2,3,9,9,2,2,2,42397.0,71.0,10.0,119.22222222222223,426.0,142.75,16.0,4.5,6.905613658466566,t2p9r2h3,28.22,4.42,4.15
3,1,5,4,4,3,7,14317.0,82.0,3.0,164.8,494.0,262.75,3.6,1.6666666666666667,8.926785535678562,t3p5r7h1,25.9,16.06,5.23
3,1,6,5,3,2,2,36251.0,58.0,7.0,155.16666666666666,444.0,197.2,12.0,2.0,7.413501197140255,t3p6r2h1,21601.08,3958.16,3952.15
3,3,7,5,7,3,6,40019.0,75.0,4.0,93.42857142857143,365.0,294.3333333333333,5.142857142857143,2.3333333333333335,18.46317656550164,t3p7r6h3,25.85,4.96,3.03
3,1,8,7,5,3,7,8707.0,44.0,5.0,81.875,333.0,39.714285714285715,10.5,2.6666666666666665,1.665986255670086,t3p8r7h1,13.12,71.89,6.1
3,3,9,8,4,3,7,31558.0,82.0,2.0,77.33333333333333,391.0,552.0,2.3333333333333335,3.0,28.447319733148852,t3p9r7h3,4.22,4.7,2.71
4,2,5,4,4,3,7,37968.0,48.0,6.0,109.0,466.0,425.0,12.0,1.25,7.7781745930520225,t4p5r7h2,21601.35,21600.0,3606.64
4,1,6,5,6,3,7,42700.0,54.0,8.0,131.83333333333334,359.0,299.4,18.666666666666668,1.5,7.39188744503053,t4p6r7h1,21602.72,21600.01,4784.27
4,4,7,7,5,3,7,36927.0,50.0,4.0,155.42857142857142,474.0,424.6666666666667,10.285714285714286,1.75,29.584154918168988,t4p7r7h4,379.75,704.83,8.76
4,1,8,7,3,2,2,23803.0,46.0,4.0,130.0,473.0,237.85714285714286,9.0,2.0,14.505452880393156,t4p8r2h1,8413.3,4084.86,4023.0
4,1,9,7,5,2,2,10511.0,46.0,3.0,80.44444444444444,339.0,107.875,6.666666666666667,2.25,6.009107670860957,t4p9r2h1,681.32,176.8,136.06
5,5,5,5,2,2,2,50387.0,77.0,3.0,122.0,550.0,857.25,8.0,1.0,8.613216588476108,t5p5r2h5,21600.88,3606.76,3603.3
5,1,6,5,5,3,6,21011.0,57.0,6.0,120.83333333333333,518.0,154.0,17.333333333333332,1.2,9.09945053286186,t5p6r6h1,21601.86,23179.23,7312.01
5,2,7,6,5,2,2,35651.0,59.0,6.0,89.28571428571429,491.0,198.33333333333334,20.0,1.4,13.755806854642232,t5p7r2h2,21602.06,3614.38,3609.97
5,3,8,7,4,3,8,30409.0,51.0,3.0,103.25,417.0,318.42857142857144,9.0,1.6,11.84250387203583,t5p8r8h3,3907.49,4169.7,2468.11
5,3,9,7,6,2,2,27814.0,80.0,3.0,100.77777777777777,530.0,245.125,8.0,1.8,12.732217992164601,t5p9r2h3,7031.76,3607.28,3604.39
3,3,10,10,5,3,6,46158.0,63.0,4.0,123.3,423.0,232.77777777777777,8.1,3.3333333333333335,11.82067659069177,t3p10r6h3,43.52,8.23,6.31
3,1,11,11,3,2,2,62344.0,55.0,7.0,137.72727272727272,523.0,160.9,17.272727272727273,3.6666666666666665,8.74585616163449,t3p11r2h1,8404.88,3607.07,2784.29
3,3,12,12,2,2,2,58976.0,66.0,2.0,118.5,579.0,705.7272727272727,2.75,4.0,36.389536231002424,t3p12r2h3,2.98,3.43,3.7
3,2,13,11,7,4,12,34661.0,86.0,3.0,154.23076923076923,536.0,196.25,4.615384615384615,4.333333333333333,12.839554769020095,t3p13r12h2,311.94,72.09,34.64
3,5,14,13,4,3,8,43885.0,44.0,5.0,91.07142857142857,560.0,112.6923076923077,8.571428571428571,4.666666666666667,6.6377083091706535,t3p14r8h5,653.85,13809.3,41.72
4,3,10,9,6,3,6,27894.0,67.0,4.0,151.7,476.0,221.77777777777777,9.6,2.5,8.854098583616237,t4p10r6h3,3335.93,173.12,24.78
4,2,11,10,3,2,2,47246.0,53.0,6.0,113.27272727272727,374.0,213.3,18.0,2.75,14.825990692024599,t4p11r2h2,21601.8,3611.27,3608.41
4,2,12,10,7,2,2,59749.0,52.0,4.0,111.5,302.0,364.54545454545456,10.5,3.0,21.697773812761348,t4p12r2h2,18425.7,3606.69,3610.93
4,1,13,11,7,3,8,51430.0,64.0,4.0,108.46153846153847,320.0,277.8333333333333,10.76923076923077,3.25,15.799964838216853,t4p13r8h1,9334.85,5160.34,3613.19
4,4,14,12,7,2,2,63268.0,87.0,4.0,102.28571428571429,461.0,307.84615384615387,9.428571428571429,3.5,13.8277655675715,t4p14r2h4,2744.6,100.31,261.65
5,4,10,9,5,2,2,41136.0,43.0,5.0,77.0,365.0,200.55555555555554,16.0,2.0,8.807964970047294,t5p10r2h4,21601.96,3655.29,3662.75
5,3,11,8,6,3,8,40096.0,84.0,2.0,112.81818181818181,366.0,555.4,3.8181818181818183,2.2,27.54705065882734,t5p11r8h3,272.15,38.29,28.12
5,2,12,9,7,2,2,41735.0,84.0,3.0,129.41666666666666,331.0,253.72727272727272,9.333333333333334,2.4,12.67847789180123,t5p12r2h2,21601.2,3603.13,3608.98
5,2,13,10,10,4,15,43897.0,83.0,2.0,74.6923076923077,501.0,503.8333333333333,4.153846153846154,2.6,32.68239417314602,t5p13r15h2,8527.61,3780.1,3609.34
5,1,14,12,6,2,2,20300.0,52.0,2.0,115.42857142857143,388.0,227.84615384615384,4.714285714285714,2.8,12.03102498252653,t5p14r2h1,177.68,73.35,170.33
6,2,10,9,6,3,6,38744.0,77.0,2.0,119.1,590.0,575.6666666666666,6.4,1.6666666666666667,31.75951301054011,t6p10r6h2,21600.98,3621.75,3608.91
6,2,11,8,9,4,15,44051.0,87.0,2.0,110.72727272727273,477.0,588.3,5.090909090909091,1.8333333333333333,36.73703853061648,t6p11r15h2,21601.05,4299.18,3607.37
6,2,12,10,8,4,10,49377.0,55.0,2.0,151.0,562.0,598.0,6.0,2.0,26.65264783025575,t6p12r10h2,21601.1,3725.56,3605.3
6,2,13,10,8,2,2,48238.0,80.0,2.0,92.23076923076923,379.0,551.25,5.538461538461538,2.1666666666666665,28.116202327720814,t6p13r2h2,21601.11,3604.8,3604.79
6,1,14,12,5,2,2,52697.0,83.0,2.0,80.42857142857143,592.0,541.8461538461538,7.071428571428571,2.3333333333333335,29.77052273085978,t6p14r2h1,21600.98,5962.4,3603.87
3,2,15,15,5,4,13,42644.0,62.0,3.0,142.2,478.0,209.14285714285714,5.6,5.0,14.38181958911589,t3p15r13h2,24.61,7.06,3.91
3,1,16,13,8,2,2,35645.0,74.0,2.0,104.5625,388.0,335.73333333333335,2.25,5.333333333333333,18.68142273906234,t3p16r2h1,7.5,5.83,4.84
3,3,17,17,5,3,6,26920.0,75.0,4.0,124.29411764705883,441.0,79.0625,8.470588235294118,5.666666666666667,5.00585594578989,t3p17r6h3,28.59,7.33,4.37
3,4,18,16,4,2,2,47572.0,47.0,4.0,101.33333333333333,536.0,125.0,6.666666666666667,6.0,7.483314773547883,t3p18r2h4,38.92,44.23,21.92
3,5,19,16,8,2,2,53426.0,67.0,4.0,127.73684210526316,490.0,129.72222222222223,7.894736842105263,6.333333333333333,7.392229821129418,t3p19r2h5,68.39,69.73,36.14
4,1,15,12,8,2,2,56844.0,78.0,6.0,76.73333333333333,382.0,174.42857142857142,16.133333333333333,3.75,9.162924406185473,t4p15r2h1,21602.35,3615.64,3612.88
4,2,16,13,8,2,2,46897.0,68.0,4.0,97.625,398.0,208.8,10.5,4.0,12.560254774486067,t4p16r2h2,21601.56,3607.26,3606.5
4,3,17,15,6,4,11,59439.0,63.0,2.0,93.3529411764706,493.0,488.25,4.9411764705882355,4.25,24.347741168330174,t4p17r11h3,35.03,16.24,10.05
4,4,18,17,3,2,2,55333.0,74.0,4.0,115.33333333333333,389.0,220.0,10.666666666666666,4.5,11.707212457686577,t4p18r2h4,2975.52,94.7,80.0
4,1,19,18,8,4,15,5988.0,71.0,2.0,71.05263157894737,346.0,66.83333333333333,3.5789473684210527,4.75,3.403429642777023,t4p19r15h1,29.21,45.79,29.55
